	updated_name	updated_smiles	status
117	Nicotinamide D-ribonucleotide	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1	non
118	Pyridoxal phosphate	Cc1ncc(COP(=O)(O)O)c(C=O)c1O	non
119	Thiamin diphosphate(2-)	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])OP(=O)([O-])[O-]	non
120	trans,trans-Farnesyl diphosphate(3-)	CC(=CCC/C(=C/CC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)/C)C	non
121	3',5'-cyclic GMP(1-)	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-]	non
122	3',5'-cyclic AMP(1-)	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)[O-]	non
123	2', 3'-cGAMP	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)OP(=O)(OC[C@@H]5[C@H]([C@H]([C@@H](O5)N6C=NC7=C(N=CN=C76)N)O)OP(=O)(O1)O)O)O	non
124	18:1-Lysophosphatidic acid	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)O)O	non
125	Indole-3-propionate	C1=CC=C2C(=C1)C(=CN2)CCC(=O)[O-]	non
126	Leukotriene B4(1-)	CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)[O-])O)O	non
127	Leukotriene C4	CCCCC/C=C\C\C=C/C=C/C=C/[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O	non
128	cyclic ADP-ribose(2-)	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN(C4=N)[C@H]5[C@@H]([C@@H]([C@H](O5)COP(=O)(OP(=O)(O1)[O-])[O-])O)O)O)O	non
129	sphingosine 1-phosphate(1-)	CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)[O-])N)O	non
130	testosterone	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	non
131	serotonin	NCCc1c[nH]c2ccc(O)cc12	non
132	dopamine	NCCc1ccc(O)c(O)c1	non
133	Flavin mononucleotide(3-)	CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O	non
134	phosphocholine	C[N+](C)(C)CCOP(=O)(O)O	non
135	heme	C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4[n]3[Fe][n]3/c(c(C)c(CCC(=O)O)/c3=C/C3=NC(=C\4)/C(C)=C3CCC(=O)O)=C\C1=N2	non
136	Biotinate	C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2	non
137	3-(4-Hydroxyphenyl)pyruvate	C1=CC(=CC=C1CC(=O)C(=O)[O-])O	non
138	Formate	C(=O)[O-]	non
139	5-methyl-THF	CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	non
140	ornithine	NCCC[C@H](N)C(=O)O	non
141	urea	NC(N)=O	non
142	beta-D-fructose 2,6-bisphosphate(4-)	C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]	non
143	Phosphoenolpyruvate(3-)	C=C(C(=O)[O-])OP(=O)([O-])[O-]	non
144	all-trans-Retinoate	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)[O-])/C)/C	non
145	Phosphatidylcholine	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC	non
146	myo-Inositol	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	non
147	4-Aminobutanoate zwitterion	C(CC(=O)[O-])C[NH3+]	non
148	Isopentenyl diphosphate	C=C(C)CCOP(=O)(O)OP(=O)(O)O	non
149	L-Kynurenine	Nc1ccccc1C(=O)C[C@H](N)C(=O)O	non
150	Pantetheine 4'-phosphate	CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS	non
151	1D-myo-inositol 1,4,5-trisphosphate(6-)	[C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@@H]1OP(=O)([O-])[O-])O)OP(=O)([O-])[O-])OP(=O)([O-])[O-])O)O	non
152	NAADP	C1=CC(=C[N+](=C1)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)O	non
153	1,2-DAG	CCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCC	non
154	D-2-hydroxyglutarate	O=C(O)CC[C@@H](O)C(=O)O	non
155	4-HNE	CCCCCC(/C=C/C=O)O	non
156	Progesterone	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	non
157	L-Noradrenaline	NC[C@H](O)c1ccc(O)c(O)c1	non
158	3-Phosphoglycerate(3-)	C(C(C(=O)[O-])O)OP(=O)([O-])[O-]	non
159	15d-PGJ2	CCCCC/C=C/C=C/1\[C@H](C=CC1=O)C/C=C\CCCC(=O)O	non
160	prostaglandin E2(1-)	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)[O-])O)O	non
161	prostaglandin D2(1-)	CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)[O-])O	non
162	Nicotinate	C1=CC(=CN=C1)C(=O)[O-]	non
163	(R)-Pantothenate	CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O	non
164	UDP-N-acetylglucosamine	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	non
165	Creatine	CN(CC(=O)O)C(=N)N	non
166	Creatinine	CN1CC(=O)NC1=N	non
167	ADP-ribose	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	non
168	Xanthine	O=c1[nH]c(=O)c2[nH]cnc2[nH]1	non
169	Adenine	Nc1ncnc2[nH]cnc12	non
170	Uracil	O=c1cc[nH]c(=O)[nH]1	non
171	Choline	C[N+](C)(C)CCO	non
172	Acetylcholine	CC(=O)OCC[N+](C)(C)C	non
173	Epinephrine	CNC[C@H](O)c1ccc(O)c(O)c1	non
174	Betaine	C[N+](C)(C)CC(=O)[O-]	non
175	Arachidonate	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]	non
176	Oleate	CCCCCCCC/C=C\CCCCCCCC(=O)[O-]	non
177	Cer(d18:1/16:0)	CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O	non
178	Sphingomyelin	CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCCCCCCC)O	non
179	2-arachidonoylglycerol	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO	non
180	Pregnenolone	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	non
181	Histamine	NCCc1c[nH]cn1	non
182	DHEA	C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12	non
183	Argininosuccinate	N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O	non
184	Kynurenate	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)[O-]	non
185	Quinolinate(2-)	C1=CC(=C(N=C1)C(=O)[O-])C(=O)[O-]	non
186	Spermine	NCCCNCCCCNCCCN	non
187	Putrescine	NCCCCN	non
188	Acetylcarnitine	CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	non
189	Palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	non
190	Propionylcarnitine	CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	non
191	L-carnitine	C[N+](C)(C)C[C@H](O)CC(=O)[O-]	non
192	Succinyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O	non
193	Acetate	CC(=O)[O-]	non
194	Butyrate	CCCC(=O)[O-]	non
195	Propionate	CCC(=O)[O-]	non
196	(R)-3-hydroxybutyrate	C[C@H](CC(=O)[O-])O	non
197	Deoxycholate	C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	non
198	Chenodeoxycholate	C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	non
199	ribose-5-P	O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O	non
200	6-phospho-D-gluconate(3-)	C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)OP(=O)([O-])[O-]	non
201	HMB-PP	C/C(=C\COP(=O)(O)OP(=O)(O)O)/CO	non
202	ADP-heptose	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)[C@@H](CO)O)O)O)O)O)O)N	non
203	muramyl dipeptide	C[C@@H](C(=O)N[C@H](CCC(=O)O)C(=O)N)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@H]1O)CO)O)NC(=O)C	non
204	ergothioneine	C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C(=O)[O-]	non
205	Imidazole propionate	C1=CN(C=N1)CCC(=O)[O-]	non
206	indole	C1=CC=C2C(=C1)C=CN2	non
207	Biliverdin	C=CC1=C(C)/C(=C/C2=NC(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)/C(CCC(=O)O)=C2C)NC1=O	non
208	Caffeic acid	C1=CC(=C(C=C1/C=C/C(=O)O)O)O	non
209	Dimethyl fumarate	COC(=O)/C=C/C(=O)OC	non
210	Urolithin A	C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O	non
211	Xanthurenate	C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O	non
212	Glycine zwitterion	C(C(=O)[O-])[NH3+]	non
